transaction_id,procedure_id,trans_group_id,trans_group_ar,trans_group_en,procedure_name_ar,procedure_name_en,instance_date,property_type_id,property_type_ar,property_type_en,property_sub_type_id,property_sub_type_ar,property_sub_type_en,property_usage_ar,property_usage_en,reg_type_id,reg_type_ar,reg_type_en,area_id,area_name_ar,area_name_en,building_name_ar,building_name_en,project_number,project_name_ar,project_name_en,master_project_en,master_project_ar,nearest_landmark_ar,nearest_landmark_en,nearest_metro_ar,nearest_metro_en,nearest_mall_ar,nearest_mall_en,rooms_ar,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,source_dataset,instance_year,instance_month,instance_day
2-13-2019-5199,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,,1,أرض,Land,60.0,Unknown,Unknown,تجاري,Commercial,1,العقارات القائمة,Existing Properties,334,الجداف,Al Jadaf,Unknown,Unknown,1046.0,Unknown,Unknown,Sama Al Jadaf,سما الجداف,برج خليفة,Burj Khalifa,محطة مترو مدينة الرعاية الصحية,Healthcare City Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,2495.11,50000000,20039.2,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-102-2006-2227,102,1,مبايعات,Sales,بيع - تسجيل مبدئى,Sell - Pre registration,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,0,على الخارطة,Off-Plan Properties,330,مرسى دبي,Marsa Dubai,اوشن هايتس,OCEAN HEIGHTS,431.0, المحيط هايتس,OCEAN HEIGHTS,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,غرفة,1 B/R,1,84.82,1690000,19924.55,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
2-14-2002-142,14,2,رهون,Mortgages,تعديل رهن,Modify Mortgage,,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,364,الوصل,Al Wasl,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو الخليج التجاري,Business Bay Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,1053.52,5000000,4745.99,1259412.0,8456.15,4.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2021-12446,11,1,مبايعات,Sales,بيع,Sell,2021-07-14,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,409,البرشاء جنوب الثالثة,Al Barshaa South Third,2020ماركيز,2020 Marquis,2129.0,ماركيز 2020,2020 Marquis,Arjan,أرجان,موتور سيتي,Motor City,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,غرفتين,2 B/R,1,119.11,1087150,9127.28,1259412.0,8456.15,1.0,1.0,0.0,transactions,2021.0,7.0,14.0
1-11-2013-5993,11,1,مبايعات,Sales,بيع,Sell,2013-02-26,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,يونيفيرسال ابارتمنت,Universal Apartment,1046.0,Unknown,Unknown,International City Phase 1,المدينة العالمية - المرحلة الاولى,Unknown,Unknown,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,استوديو,Studio,1,60.85,350000,5751.85,1259412.0,8456.15,1.0,1.0,0.0,transactions,2013.0,2.0,26.0
1-11-2003-431,11,1,مبايعات,Sales,بيع,Sell,2003-03-31,1,أرض,Land,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,264,ند الحمر,Nad Al Hamar,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,1393.55,600000,430.56,1259412.0,8456.15,11.0,1.0,0.0,transactions,2003.0,3.0,31.0
1-11-2006-1060,11,1,مبايعات,Sales,بيع,Sell,2006-06-21,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,Unknown,Unknown,1046.0,Unknown,Unknown,Jumeirah Islands,جزر جميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,Unknown,Unknown,0,988.12,2100000,2125.25,1259412.0,8456.15,1.0,2.0,0.0,transactions,2006.0,6.0,21.0
2-13-2024-16341,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2024-07-25,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,أواسيس تاور وان,OASIS TOWER ONE,501.0,واحة تاور ون,OASIS TOWER ONE,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفتين,2 B/R,1,93.36,720800,7720.65,1259412.0,8456.15,1.0,1.0,0.0,transactions,2024.0,7.0,25.0
2-13-2016-8921,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2016-11-29,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,230,ابو هيل,Abu Hail,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو أبو بكر الصديق,Abu Baker Al Siddique Metro Station,Unknown,Unknown,Unknown,Unknown,0,281.03,1522500,5417.57,1259412.0,8456.15,1.0,1.0,0.0,transactions,2016.0,11.0,29.0
1-11-2019-5215,11,1,مبايعات,Sales,بيع,Sell,2019-05-29,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,يو - 09,U-09,1046.0,Unknown,Unknown,International City Phase 1,المدينة العالمية - المرحلة الاولى,Unknown,Unknown,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,غرفة,1 B/R,0,69.0,325000,4710.14,1259412.0,8456.15,1.0,1.0,0.0,transactions,2019.0,5.0,29.0
1-11-2023-42966,11,1,مبايعات,Sales,بيع,Sell,2023-12-27,2,مبنى,Building,60.0,Unknown,Unknown,تجاري,Commercial,1,العقارات القائمة,Existing Properties,376,راس الخور الصناعيه الاولى,Ras Al Khor Industrial First,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,وسط مدينة دبي,Downtown Dubai,محطة مترو الخور,Creek Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,503.22,1900000,3775.68,1259412.0,8456.15,2.0,1.0,0.0,transactions,2023.0,12.0,27.0
2-13-2010-1042,13,2,رهون,Mortgages,تسجيل رهن,Mortgage Registration,2010-03-15,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,المجرة-1,Al Majara 1,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفة,1 B/R,1,86.31,1060800,12290.58,1259412.0,8456.15,1.0,1.0,0.0,transactions,2010.0,3.0,15.0
1-11-2025-8736,11,1,مبايعات,Sales,بيع,Sell,,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,328,الجافليه,Al Jafliya,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج خليفة,Burj Khalifa,محطة مترو الجافلية,Al Jafiliya Metro Station,مول دبي,Dubai Mall,Unknown,Unknown,0,34.73,338498,9746.59,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-11-2012-8009,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,390,برج خليفة,Burj Khalifa,ينسون 7,YANSOON 7,1046.0,Unknown,Unknown,DownTown Dubai,داون تاون دبي,وسط مدينة دبي,Downtown Dubai,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,136.94,1950000,14239.81,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-11-2021-5097,11,1,مبايعات,Sales,بيع,Sell,2021-03-31,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,435,الحبيه الرابعة,Al Hebiah Fourth,الأسباني	,Spanish,1960.0,2 كنال ريزيدنس ويست,Canal Residence West 2,Dubai Sports City,مدينة دبي الرياضية,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,غرفة,1 B/R,1,98.42,441058,4481.39,1259412.0,8456.15,1.0,1.0,0.0,transactions,2021.0,3.0,31.0
1-11-2020-7253,11,1,مبايعات,Sales,بيع,Sell,,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,350,الثنيه الخامسة,Al Thanyah Fifth,Unknown,Unknown,1046.0,Unknown,Unknown,Jumeirah Islands,جزر جميرا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,Unknown,Unknown,0,817.58,3885000,4751.83,1259412.0,8456.15,2.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2024-23250,11,1,مبايعات,Sales,بيع,Sell,2024-06-27,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,داماك هايتس,DAMAC HEIGHTS,430.0, داماك هايتس,DAMAC HEIGHTS,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,ابراج مارينا,Marina Towers,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,132.24,3075000,23253.18,1259412.0,8456.15,1.0,1.0,0.0,transactions,2024.0,6.0,27.0
1-11-2023-30192,11,1,مبايعات,Sales,بيع,Sell,2023-09-21,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا فيو تاور بي,MARINA VIEW TOWERS B,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,محطة مترو مارينا مول,Marina Mall Metro Station,مارينا مول,Marina Mall,غرفة,1 B/R,1,72.37,1150000,15890.56,1259412.0,8456.15,1.0,1.0,0.0,transactions,2023.0,9.0,21.0
1-11-2025-10714,11,1,مبايعات,Sales,بيع,Sell,2025-03-13,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,Jumeirah Gate Tower 1,Jumeirah Gate Tower 1,1790.0,جميرا غيت,Jumeirah Gate,Jumeriah Beach Residence  - JBR,جميرا بيتش ريزيدنس  - الجيه بي آر ,برج العرب,Burj Al Arab,مساكن شاطئ جميرا,Jumeirah Beach Residency,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,173.52,9600000,55325.03,1259412.0,8456.15,1.0,2.0,0.0,transactions,2025.0,3.0,13.0
1-11-2016-1699,11,1,مبايعات,Sales,بيع,Sell,2016-02-15,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,255,رقه البطين,Rega Al Buteen,اعمار تاور 1,EMAAR TOWER 1,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو الرقة,Al Rigga Metro Station,مول دبي,Dubai Mall,غرفة,1 B/R,1,85.75,1025000,11953.35,1259412.0,8456.15,1.0,1.0,0.0,transactions,2016.0,2.0,15.0
1-11-2013-26645,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,390,برج خليفة,Burj Khalifa,ريحان 1,REEHAN 1,1046.0,Unknown,Unknown,DownTown Dubai,داون تاون دبي,وسط مدينة دبي,Downtown Dubai,محطة مترو بوج خليفة دبي مول,Buj Khalifa Dubai Mall Metro Station,مول دبي,Dubai Mall,غرفتين,2 B/R,1,140.93,2700000,19158.45,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
3-9-2024-5122,9,3,هبات,Gifts,هبه,Grant,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا سويتس,MARINA SUITES,894.0,أجنحة مارينا,MARINA SUITES,Dubai Marina,دبي مارينا,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,أبراج بحيرات جميرا,Jumeirah Lakes Towers,مارينا مول,Marina Mall,غرفتين,2 B/R,1,124.02,1336172,10773.85,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2009-220516,11,1,مبايعات,Sales,بيع,Sell,2009-12-21,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,اميرتس كراون تاور,EMIRATES CROWN TOWER,1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,360.6,2678580,7428.12,1259412.0,8456.15,1.0,1.0,0.0,transactions,2009.0,12.0,21.0
2-110-2014-1069,110,2,رهون,Mortgages,تسجيل إيجارة تنتهى بالتملك,Lease to Own Registration,2014-05-19,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا دايموند 6 (A),MARINA DIAMOND 6 (A),1046.0,Unknown,Unknown,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مرسى دبي,Dubai Marina,مارينا مول,Marina Mall,غرفة,1 B/R,1,65.78,750000,11401.64,750000.0,11401.64,2.0,2.0,2.0,transactions,2014.0,5.0,19.0
1-11-2009-201448,11,1,مبايعات,Sales,بيع,Sell,2009-01-14,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,343,ورسان الاولى,Al Warsan First,اف - 16,F-16,1046.0,Unknown,Unknown,International City Phase 1,المدينة العالمية - المرحلة الاولى,Unknown,Unknown,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,استوديو,Studio,0,45.0,223400,4964.44,1259412.0,8456.15,1.0,1.0,0.0,transactions,2009.0,1.0,14.0
1-11-2004-2316,11,1,مبايعات,Sales,بيع,Sell,2004-11-22,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,232,مردف,Mirdif,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو الراشدية,Rashidiya Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,696.77,1100000,1578.71,1259412.0,8456.15,1.0,1.0,0.0,transactions,2004.0,11.0,22.0
1-11-2023-7260,11,1,مبايعات,Sales,بيع,Sell,2023-03-15,2,مبنى,Building,60.0,Unknown,Unknown,سكني / تجاري,Residential / Commercial,1,العقارات القائمة,Existing Properties,368,البرشاء الاولى,Al Barsha First,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,برج العرب,Burj Al Arab,محطة مترو شرف دي جي,Sharaf Dg Metro Station,مول الإمارات,Mall of the Emirates,Unknown,Unknown,0,170.71,3384616,19826.7,1259412.0,8456.15,1.0,2.0,0.0,transactions,2023.0,3.0,15.0
1-11-2024-38497,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,330,مرسى دبي,Marsa Dubai,مارينا اركيد,MARINA ARCADE,948.0,مارينا أركيد,MARINA ARCADE,Dubai Marina,دبي مارينا,برج العرب,Burj Al Arab,مينا السياحي,Mina Seyahi,مارينا مول,Marina Mall,ثلاث غرف,3 B/R,1,229.06,3400000,14843.27,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-11-2008-370,11,1,مبايعات,Sales,بيع,Sell,2008-01-29,1,أرض,Land,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,311,محيصنه الثالثه,Muhaisanah Third,Unknown,Unknown,1046.0,Unknown,Unknown,Unknown,Unknown,مطار دبي الدولي,Dubai International Airport,محطة مترو اتصالات,Etisalat Metro Station,سيتي سنتر مردف,City Centre Mirdif,Unknown,Unknown,0,1393.55,3270000,2346.53,1259412.0,8456.15,1.0,1.0,0.0,transactions,2008.0,1.0,29.0
1-11-2012-12511,11,1,مبايعات,Sales,بيع,Sell,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,جى ار ترافو ايه,G R TRAVO A,1046.0,Unknown,Unknown,The Greens,الروضة,برج العرب,Burj Al Arab,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,غرفتين,2 B/R,1,121.05,1134888,9375.37,1259412.0,8456.15,1.0,1.0,0.0,transactions,2015.0,6.0,22.0
1-11-2019-3116,11,1,مبايعات,Sales,بيع,Sell,2019-03-28,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,Unknown,Unknown,1047.0,روعة الإمارات ? الينابيع 10,Emirates Living - Springs 10,Springs - 2,الينابيع - 2,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,غرفتين,2 B/R,0,172.51,1200000,6956.12,1259412.0,8456.15,1.0,1.0,0.0,transactions,2019.0,3.0,28.0
1-11-2008-2589,11,1,مبايعات,Sales,بيع,Sell,,4,فيلا,Villa,60.0,Unknown,Unknown,سكني,Residential,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,Unknown,Unknown,1046.0,Unknown,Unknown,Meadows 7,السهول 7,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,محطة مترو النخيل,Nakheel Metro Station,مارينا مول,Marina Mall,Unknown,Unknown,0,530.75,1428800,2692.04,1259412.0,8456.15,1.0,2.0,0.0,transactions,2015.0,6.0,22.0
1-110-2007-100007,110,1,مبايعات,Sales,تسجيل إيجارة تنتهى بالتملك,Lease to Own Registration,2007-05-30,4,فيلا,Villa,4.0,فيلا,Villa,سكني,Residential,1,العقارات القائمة,Existing Properties,352,الثنيه الرابعة,Al Thanayah Fourth,Unknown,Unknown,1050.0,روعة الإمارات ? الينابيع 11,Emirates Living - Springs 11,Springs - 1,الينابيع - 1,أكاديمية المدينة الرياضية للسباحة,Sports City Swimming Academy,عقارات داماك,Damac Properties,مارينا مول,Marina Mall,غرفتين,2 B/R,0,288.98,469888,1626.02,1259412.0,8456.15,2.0,2.0,2.0,transactions,2007.0,5.0,30.0
1-110-2010-1256,110,1,مبايعات,Sales,تسجيل إيجارة تنتهى بالتملك,Lease to Own Registration,,3,وحدة,Unit,60.0,شقه سكنيه,Flat,سكني,Residential,1,العقارات القائمة,Existing Properties,351,الثنيه الثالثة,Al Thanyah Third,GR Una,GR Una,1046.0,Unknown,Unknown,The Greens,الروضة,برج العرب,Burj Al Arab,مدينة دبي للإنترنت,Dubai Internet City,مارينا مول,Marina Mall,غرفتين,2 B/R,1,118.73,1279888,10779.82,1259412.0,8456.15,2.0,2.0,2.0,transactions,2015.0,6.0,22.0
